column,dtype,example_values
Loan_ID,object,"LP001002, LP001003, LP001005"
Gender,object,"Male, Female"
Married,object,"No, Yes"
Dependents,object,"0, 1, 2"
Education,object,"Graduate, Not Graduate"
Self_Employed,object,"No, Yes"
ApplicantIncome,int64,"5849, 4583, 3000"
CoapplicantIncome,float64,"0.0, 1508.0, 2358.0"
LoanAmount,float64,"128.0, 66.0, 120.0"
Loan_Amount_Term,float64,"360.0, 120.0, 240.0"
Credit_History,float64,"1.0, 0.0"
Property_Area,object,"Urban, Rural, Semiurban"
Loan_Status,object,"Y, N"
