Balance_Income,CoapplicantIncome,EMI,Education,Gender,Income_to_Loan_Ratio,Income_x_CreditHistory,Loan_Amount_Term,Loan_Status,Married,Property_Area,Self_Employed
,0.0,,Graduate,Male,,5849.0,360.0,1,No,Urban,No
5735.444444444444,1508.0,355.55555555555554,Graduate,Male,0.0475859375,6091.0,360.0,0,Yes,Rural,No
2816.6666666666665,0.0,183.33333333333334,Graduate,Male,0.045454545454545456,3000.0,360.0,1,Yes,Urban,Yes
4607.666666666667,2358.0,333.3333333333333,Not Graduate,Male,0.041175,4941.0,360.0,1,Yes,Urban,No
5608.333333333333,0.0,391.6666666666667,Graduate,Male,0.0425531914893617,6000.0,360.0,1,No,Urban,No
8871.333333333334,4196.0,741.6666666666666,Graduate,Male,0.03600374531835206,9613.0,360.0,1,Yes,Urban,Yes
3585.1111111111113,1516.0,263.8888888888889,Not Graduate,Male,0.04051578947368421,3849.0,360.0,1,Yes,Urban,No
5101.111111111111,2504.0,438.8888888888889,Graduate,Male,0.035063291139240504,0.0,360.0,0,Yes,Semiurban,No
5065.333333333333,1526.0,466.6666666666667,Graduate,Male,0.032928571428571425,5532.0,360.0,1,Yes,Urban,No
22839.555555555555,10968.0,969.4444444444445,Graduate,Male,0.06822063037249283,23809.0,360.0,0,Yes,Semiurban,No
3705.5555555555557,700.0,194.44444444444446,Graduate,Male,0.055714285714285716,3900.0,360.0,1,Yes,Urban,No
4037.222222222222,1840.0,302.77777777777777,Graduate,Male,0.03981651376146789,4340.0,360.0,1,Yes,Urban,
10623.444444444445,8106.0,555.5555555555555,Graduate,Male,0.055895,11179.0,360.0,1,Yes,Urban,No
4376.333333333333,2840.0,316.6666666666667,Graduate,Male,0.041166666666666664,4693.0,360.0,0,No,Rural,No
2243.3333333333335,1086.0,141.66666666666666,Graduate,Male,0.14029411764705882,2385.0,120.0,1,Yes,Urban,No
4602.777777777777,0.0,347.22222222222223,Graduate,Male,0.0396,4950.0,360.0,1,No,Urban,No
3179.3333333333335,0.0,416.6666666666667,Not Graduate,Male,0.03596,7192.0,240.0,1,No,Urban,No
3298.8888888888887,0.0,211.11111111111111,Graduate,Female,0.04618421052631579,0.0,360.0,0,No,Urban,No
4517.555555555556,0.0,369.44444444444446,Not Graduate,Male,0.03674436090225564,4887.0,360.0,0,Yes,Rural,No
,3500.0,,Graduate,Male,0.05304347826086957,6100.0,,1,Yes,Urban,
7371.111111111111,0.0,288.8888888888889,Not Graduate,Male,0.07365384615384615,0.0,360.0,0,Yes,Urban,No
10705.0,5625.0,875.0,Graduate,Male,0.03676190476190476,11580.0,360.0,1,Yes,Urban,No
4188.777777777777,1911.0,322.22222222222223,Not Graduate,Male,0.03888793103448276,0.0,360.0,0,Yes,Semiurban,No
4970.888888888889,1917.0,311.1111111111111,Not Graduate,,0.047160714285714285,0.0,360.0,0,Yes,Rural,No
6222.555555555556,2925.0,419.44444444444446,Graduate,Male,0.04398675496688742,13284.0,360.0,0,Yes,Semiurban,
9029.444444444445,0.0,530.5555555555555,Graduate,Male,0.05005235602094241,9560.0,360.0,1,Yes,Semiurban,Yes
4713.111111111111,2253.0,338.8888888888889,Graduate,Male,0.04140983606557377,5052.0,360.0,1,Yes,Semiurban,No
4960.444444444444,1040.0,305.55555555555554,Not Graduate,Male,0.047872727272727275,5266.0,360.0,1,Yes,Urban,No
1344.7777777777778,0.0,97.22222222222223,Not Graduate,Male,0.0412,1442.0,360.0,0,No,Urban,No
5499.666666666667,2083.0,333.3333333333333,Graduate,Female,0.04860833333333334,5833.0,360.0,1,No,Semiurban,
6976.666666666667,3369.0,558.3333333333334,Graduate,Male,0.037487562189054725,15070.0,360.0,0,Yes,Urban,
2961.4444444444443,0.0,205.55555555555554,Graduate,Male,0.042797297297297296,3167.0,360.0,0,No,Urban,No
4397.555555555556,0.0,294.44444444444446,Graduate,Male,0.044264150943396224,4692.0,360.0,0,No,Rural,Yes
4850.333333333333,1667.0,316.6666666666667,Graduate,Male,0.045324561403508774,5167.0,360.0,1,Yes,Semiurban,No
14611.111111111111,3000.0,888.8888888888889,Graduate,Male,0.0484375,15500.0,360.0,0,No,Rural,No
,2067.0,,Graduate,Male,,4342.0,360.0,1,Yes,Urban,No
,1330.0,,Graduate,Male,0.03158,0.0,,0,Yes,Urban,No
4726.0,1459.0,400.0,Graduate,Female,0.035597222222222225,5126.0,360.0,1,Yes,Semiurban,No
10864.888888888889,7210.0,511.1111111111111,Graduate,Male,0.06182608695652174,11376.0,360.0,1,No,Urban,No
5110.444444444444,1668.0,305.55555555555554,Not Graduate,Male,0.049236363636363634,5416.0,360.0,1,No,Semiurban,No
3377.777777777778,0.0,222.22222222222223,Graduate,Male,0.045,3600.0,360.0,0,No,Urban,No
2882.4444444444443,1213.0,130.55555555555554,Graduate,Male,0.0641063829787234,3013.0,360.0,1,No,Urban,No
2191.6666666666665,0.0,208.33333333333334,Graduate,Male,0.032,4800.0,360.0,1,Yes,Urban,No
5904.777777777777,2336.0,372.22222222222223,Graduate,Male,0.04684328358208955,6277.0,360.0,1,Yes,Semiurban,No
,0.0,,Not Graduate,Male,0.04890625,4695.0,,1,Yes,Urban,Yes
,0.0,,Graduate,Female,0.03875,3410.0,,1,No,Urban,No
5526.777777777777,0.0,122.22222222222223,Graduate,Male,0.12838636363636363,5649.0,360.0,1,Yes,Urban,No
5421.0,0.0,400.0,Graduate,Male,0.04042361111111111,5821.0,360.0,1,Yes,Urban,No
5751.666666666667,3440.0,333.3333333333333,Graduate,Female,0.050708333333333334,0.0,360.0,0,Yes,Urban,No
5875.0,2275.0,400.0,Graduate,Female,0.04357638888888889,6275.0,360.0,1,No,Semiurban,No
3294.222222222222,1644.0,277.77777777777777,Not Graduate,Female,0.03572,3572.0,360.0,1,Yes,Semiurban,No
2752.6666666666665,0.0,333.3333333333333,Graduate,Female,0.025716666666666665,3086.0,360.0,1,No,Semiurban,No
3918.8888888888887,0.0,311.1111111111111,Graduate,Female,0.037767857142857145,4230.0,360.0,0,No,Semiurban,No
4243.777777777777,0.0,372.22222222222223,Graduate,Male,0.03444776119402985,4616.0,360.0,0,Yes,Urban,No
10705.555555555555,0.0,794.4444444444445,Graduate,Female,0.04020979020979021,0.0,360.0,0,Yes,Urban,Yes
3605.5555555555557,1167.0,269.44444444444446,Graduate,Male,0.03994845360824742,3875.0,360.0,1,Yes,Semiurban,No
3456.3333333333335,1591.0,266.6666666666667,Graduate,Male,0.03878125,3723.0,360.0,1,Yes,Semiurban,No
5191.0,2200.0,375.0,Graduate,Male,0.04122962962962963,5566.0,360.0,0,Yes,Rural,No
9830.0,2250.0,500.0,Graduate,Male,0.05738888888888889,10330.0,360.0,1,Yes,Urban,No
5816.0,2859.0,400.0,Not Graduate,Male,0.043166666666666666,6216.0,360.0,1,Yes,Urban,No
5962.666666666667,3796.0,333.3333333333333,Graduate,Male,0.05246666666666667,6296.0,360.0,1,Yes,Urban,No
2754.0,0.0,275.0,Graduate,Male,0.030595959595959597,3029.0,360.0,1,Yes,Urban,No
5141.333333333333,3449.0,916.6666666666666,Not Graduate,Male,0.03671515151515151,0.0,180.0,0,Yes,Rural,Yes
,0.0,,Graduate,Male,,0.0,360.0,0,Yes,Rural,No
3843.777777777778,0.0,322.22222222222223,Graduate,Female,0.03591379310344828,0.0,360.0,0,No,Semiurban,No
9604.333333333334,4595.0,716.6666666666666,Graduate,Male,0.04000387596899225,10321.0,360.0,0,Yes,Semiurban,No
4754.0,2254.0,700.0,Not Graduate,Male,0.04328571428571429,0.0,180.0,0,No,Urban,No
9883.333333333334,0.0,866.6666666666666,Graduate,Male,0.03445512820512821,10750.0,360.0,1,Yes,Urban,No
5016.666666666666,0.0,2083.3333333333335,Not Graduate,Male,0.0568,7100.0,60.0,1,Yes,Urban,Yes
3922.222222222222,0.0,377.77777777777777,Graduate,Female,0.03161764705882353,0.0,360.0,0,No,Semiurban,No
5796.222222222223,3066.0,477.77777777777777,Graduate,Male,0.03647674418604651,6274.0,360.0,1,Yes,Urban,No
3480.5555555555557,1875.0,269.44444444444446,Not Graduate,Male,0.03865979381443299,3750.0,360.0,1,Yes,Semiurban,Yes
3230.0,0.0,270.0,Graduate,Male,0.043209876543209874,3500.0,300.0,1,No,Semiurban,No
,0.0,,Not Graduate,Male,0.05005263157894737,0.0,,0,Yes,Semiurban,No
6520.555555555556,1774.0,519.4444444444445,Graduate,Male,0.03764705882352941,7040.0,360.0,1,Yes,Semiurban,Yes
3514.5833333333335,0.0,235.41666666666666,Graduate,Male,0.033185840707964605,3750.0,480.0,0,No,Urban,No
8011.111111111111,4750.0,488.8888888888889,Graduate,Male,0.048295454545454544,8500.0,360.0,0,No,Urban,No
3716.4444444444443,3022.0,305.55555555555554,Graduate,Male,0.03656363636363636,4022.0,360.0,0,Yes,Urban,Yes
6567.0,4000.0,600.0,Graduate,Male,0.03981666666666667,0.0,300.0,0,Yes,Semiurban,No
5137.888888888889,2166.0,361.1111111111111,Not Graduate,Male,0.0423,10998.0,360.0,1,Yes,Semiurban,Yes
3537.6666666666665,0.0,308.3333333333333,Graduate,Female,0.034648648648648646,3846.0,360.0,1,No,Semiurban,No
,0.0,,Graduate,Male,,2395.0,360.0,1,Yes,Semiurban,Yes
2795.1111111111113,1881.0,463.8888888888889,Graduate,Female,0.01951497005988024,3259.0,360.0,0,Yes,Urban,No
7513.888888888889,2250.0,736.1111111111111,Graduate,Male,0.031132075471698113,16500.0,360.0,0,Yes,Semiurban,No
3779.6666666666665,0.0,208.33333333333334,Graduate,Male,0.07976,3988.0,240.0,1,Yes,Urban,No
4519.222222222223,2531.0,377.77777777777777,Graduate,Male,0.03600735294117647,4897.0,360.0,1,No,Semiurban,No
5058.0,2000.0,275.0,Not Graduate,Male,0.05386868686868687,10666.0,360.0,1,Yes,Semiurban,No
4329.111111111111,2118.0,288.8888888888889,Graduate,Male,0.044403846153846155,4618.0,360.0,1,Yes,Semiurban,No
7982.666666666667,0.0,583.3333333333334,Graduate,Male,0.04079047619047619,8566.0,360.0,1,No,Urban,No
9375.888888888889,4167.0,486.1111111111111,Graduate,Male,0.05635428571428571,9862.0,360.0,1,Yes,Semiurban,No
5494.111111111111,2900.0,363.8888888888889,Graduate,Male,0.044717557251908395,5858.0,360.0,1,Yes,Semiurban,No
10859.555555555555,5654.0,1044.4444444444443,Graduate,Male,0.06331914893617022,11904.0,180.0,1,Yes,Semiurban,No
4868.0,1820.0,225.0,Not Graduate,Male,0.06287654320987654,5093.0,360.0,1,Yes,Urban,No
3794.1111111111113,0.0,338.8888888888889,Graduate,Male,0.03387704918032787,4133.0,360.0,1,No,Semiurban,No
3411.6666666666665,0.0,208.33333333333334,Not Graduate,Male,0.1448,3620.0,120.0,1,No,Semiurban,No
,0.0,,Graduate,Male,,13564.0,360.0,0,No,Urban,
4405.444444444444,2302.0,380.55555555555554,Graduate,Female,0.034934306569343064,4786.0,360.0,1,Yes,Semiurban,No
2835.1111111111113,997.0,138.88888888888889,Graduate,Male,0.05948,2974.0,360.0,1,Yes,Semiurban,No
3549.1111111111113,0.0,638.8888888888889,Not Graduate,Male,0.036417391304347825,4188.0,180.0,1,Yes,Semiurban,No
4936.111111111111,3541.0,363.8888888888889,Graduate,Male,0.04045801526717557,5300.0,360.0,1,Yes,Semiurban,No
6812.111111111111,3263.0,738.8888888888889,Not Graduate,Male,0.05677443609022556,7551.0,180.0,1,Yes,Urban,No
8229.555555555555,3806.0,419.44444444444446,Graduate,Male,0.05727814569536424,8649.0,360.0,1,No,Semiurban,No
,0.0,,Graduate,Male,,13650.0,360.0,1,Yes,Urban,No
,3583.0,,Graduate,Male,,8235.0,360.0,1,Yes,Semiurban,No
4125.555555555556,754.0,444.44444444444446,Graduate,Male,0.0285625,4570.0,360.0,1,,Urban,No
3804.222222222222,1030.0,277.77777777777777,Graduate,Male,0.04082,4082.0,360.0,1,Yes,Urban,No
11918.0,1126.0,625.0,Graduate,Male,0.05574666666666667,12543.0,360.0,1,Yes,Urban,No
6999.666666666667,0.0,333.3333333333333,Not Graduate,Male,0.061108333333333334,7333.0,360.0,0,No,Rural,
6800.0,3600.0,600.0,Graduate,Male,0.03425925925925926,0.0,360.0,0,Yes,Urban,No
2629.1666666666665,754.0,195.83333333333334,Not Graduate,Male,0.0300531914893617,2825.0,480.0,1,Yes,Semiurban,No
4938.222222222223,0.0,377.77777777777777,Graduate,Male,0.039088235294117646,5316.0,360.0,1,No,Urban,No
4875.888888888889,2333.0,386.1111111111111,Graduate,Female,0.03785611510791367,5262.0,360.0,1,Yes,Semiurban,
,4114.0,,Not Graduate,Male,0.05056578947368421,0.0,,0,Yes,Rural,No
,0.0,,Graduate,Female,,7451.0,360.0,1,No,Semiurban,Yes
4722.222222222223,0.0,327.77777777777777,Graduate,Male,0.042796610169491524,5050.0,360.0,1,No,Semiurban,
13555.222222222223,0.0,1027.7777777777778,Graduate,Male,0.07882702702702703,14583.0,180.0,1,Yes,Rural,No
5022.222222222223,2283.0,427.77777777777777,Graduate,Female,0.03538961038961039,5450.0,360.0,1,Yes,Semiurban,No
3375.8888888888887,1398.0,236.11111111111111,Graduate,Male,0.04249411764705882,7224.0,360.0,1,Yes,Urban,No
7223.888888888889,2142.0,486.1111111111111,Graduate,Male,0.04405714285714286,7710.0,360.0,0,Yes,Rural,No
9688.555555555555,0.0,719.4444444444445,Graduate,Female,0.04018532818532818,10408.0,360.0,1,No,Urban,No
7834.0,2667.0,500.0,Graduate,Male,0.0463,8334.0,360.0,1,Yes,Rural,No
4043.777777777778,0.0,122.22222222222223,Graduate,Female,0.09468181818181819,4166.0,360.0,1,No,Semiurban,No
10736.444444444445,8980.0,380.55555555555554,Graduate,Female,0.08114598540145986,0.0,360.0,1,No,Semiurban,No
2732.0,0.0,225.0,Graduate,Male,0.036506172839506176,2957.0,360.0,1,Yes,Semiurban,No
5775.111111111111,2014.0,538.8888888888889,Not Graduate,Male,0.03254639175257732,6314.0,360.0,1,Yes,Rural,No
