Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,IncomeToLoanRatio,EMI,BalanceIncome,FamilySize,HasCreditHistory,IsGraduate,IsSelfEmployed,IncomeBand,LoanAmtBand,TermBand
LP001002,Male,N,0,Graduate,N,5849,0.0,,360.0,1.0,Urban,Y,5849.0,0.041426539654408505,365.2777777777778,4970.333333333333,1,1,1,0,5–10k,Unknown,301–360
LP001003,Male,Y,1,Graduate,N,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,0.0475859375,355.55555555555554,5735.444444444444,3,1,1,0,5–10k,100–150k,301–360
LP001005,Male,Y,0,Graduate,Y,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,0.045454545454545456,183.33333333333334,2816.6666666666665,2,1,1,1,2.5–5k,<100k,301–360
LP001006,Male,Y,0,Not Graduate,N,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,0.041175,333.3333333333333,4607.666666666667,2,1,0,0,2.5–5k,100–150k,301–360
LP001008,Male,N,0,Graduate,N,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,0.0425531914893617,391.6666666666667,5608.333333333333,1,1,1,0,5–10k,100–150k,301–360
LP001011,Male,Y,2,Graduate,Y,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,0.03600374531835206,741.6666666666666,8871.333333333334,4,1,1,1,5–10k,200–300k,301–360
LP001013,Male,Y,0,Not Graduate,N,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,0.04051578947368421,263.8888888888889,3585.1111111111113,2,1,0,0,2.5–5k,<100k,301–360
LP001014,Male,Y,3,Graduate,N,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,0.035063291139240504,438.8888888888889,5101.111111111111,5,0,1,0,5–10k,150–200k,301–360
LP001018,Male,Y,2,Graduate,N,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,0.032928571428571425,466.6666666666667,5065.333333333333,4,1,1,0,5–10k,150–200k,301–360
LP001020,Male,Y,1,Graduate,N,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,0.06822063037249283,969.4444444444445,22839.555555555555,3,1,1,0,>20k,>300k,301–360
LP001024,Male,Y,2,Graduate,N,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,0.055714285714285716,194.44444444444446,3705.5555555555557,4,1,1,0,2.5–5k,<100k,301–360
LP001027,Male,Y,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,0.03981651376146789,302.77777777777777,4037.222222222222,4,1,1,0,2.5–5k,100–150k,301–360
LP001028,Male,Y,2,Graduate,N,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,0.055895,555.5555555555555,10623.444444444445,4,1,1,0,10–20k,150–200k,301–360
LP001029,Male,N,0,Graduate,N,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,0.041166666666666664,316.6666666666667,4376.333333333333,1,1,1,0,2.5–5k,100–150k,301–360
LP001030,Male,Y,2,Graduate,N,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,0.14029411764705882,141.66666666666666,2243.3333333333335,4,1,1,0,<2.5k,<100k,<=180
LP001032,Male,N,0,Graduate,N,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,0.0396,347.22222222222223,4602.777777777777,1,1,1,0,2.5–5k,100–150k,301–360
LP001034,Male,N,1,Not Graduate,N,3596,0.0,100.0,240.0,,Urban,Y,3596.0,0.03596,416.6666666666667,3179.3333333333335,2,0,0,0,2.5–5k,<100k,181–240
LP001036,Female,N,0,Graduate,N,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,0.04618421052631579,211.11111111111111,3298.8888888888887,1,0,1,0,2.5–5k,<100k,301–360
LP001038,Male,Y,0,Not Graduate,N,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,0.03674436090225564,369.44444444444446,4517.555555555556,2,1,0,0,2.5–5k,100–150k,301–360
LP001041,Male,Y,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y,6100.0,0.05304347826086957,365.2777777777778,4970.333333333333,2,1,1,0,5–10k,100–150k,Unknown
LP001043,Male,Y,0,Not Graduate,N,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,0.07365384615384615,288.8888888888889,7371.111111111111,2,0,0,0,5–10k,100–150k,301–360
LP001046,Male,Y,1,Graduate,N,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,0.03676190476190476,875.0,10705.0,3,1,1,0,10–20k,>300k,301–360
LP001047,Male,Y,0,Not Graduate,N,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,0.03888793103448276,322.22222222222223,4188.777777777777,2,0,0,0,2.5–5k,100–150k,301–360
LP001050,Nan,Y,2,Not Graduate,N,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,0.047160714285714285,311.1111111111111,4970.888888888889,4,0,0,0,5–10k,100–150k,301–360
LP001052,Male,Y,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N,6642.0,0.04398675496688742,419.44444444444446,6222.555555555556,3,0,1,0,5–10k,150–200k,301–360
LP001066,Male,Y,0,Graduate,Y,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,0.05005235602094241,530.5555555555555,9029.444444444445,2,1,1,1,5–10k,150–200k,301–360
LP001068,Male,Y,0,Graduate,N,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,0.04140983606557377,338.8888888888889,4713.111111111111,2,1,1,0,5–10k,100–150k,301–360
LP001073,Male,Y,2,Not Graduate,N,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,0.047872727272727275,305.55555555555554,4960.444444444444,4,1,0,0,5–10k,100–150k,301–360
